sweep,input_value,traversability,slope_penalty,roughness_penalty,step_penalty,uncertainty_penalty,valid,limiting_factor
slope_rad,0.0,1.0,0.0,0.0,0.0,0.0,1,0
slope_rad,0.04363323129985824,1.0,0.0,0.0,0.0,0.0,1,0
slope_rad,0.08726646259971647,1.0,0.0,0.0,0.0,0.0,1,0
slope_rad,0.17453292519943295,0.9636,0.10400000000000002,0.0,0.0,0.0,1,1
slope_rad,0.2617993877991494,0.8768,0.352,0.0,0.0,0.0,1,1
slope_rad,0.3490658503988659,0.7732,0.648,0.0,0.0,0.0,1,1
slope_rad,0.4363323129985824,0.6863999999999999,0.8960000000000001,0.0,0.0,0.0,1,1
slope_rad,0.5235987755982988,0.65,1.0,0.0,0.0,0.0,1,1
slope_rad,0.6108652381980153,0.65,1.0,0.0,0.0,0.0,1,1
roughness_m,0.0,1.0,0.0,0.0,0.0,0.0,1,0
roughness_m,0.001,1.0,0.0,0.0,0.0,0.0,1,0
roughness_m,0.002,1.0,0.0,0.0,0.0,0.0,1,0
roughness_m,0.005,0.9906797074052766,0.0,0.04660146297361716,0.0,0.0,1,2
roughness_m,0.01,0.9442426234897674,0.0,0.27878688255116296,0.0,0.0,1,2
roughness_m,0.015,0.8805457384729185,0.0,0.5972713076354071,0.0,0.0,1,2
roughness_m,0.025,0.8,0.0,1.0,0.0,0.0,1,2
roughness_m,0.04,0.8,0.0,1.0,0.0,0.0,1,2
step_height_m,0.0,1.0,0.0,0.0,0.0,0.0,1,0
step_height_m,0.002,1.0,0.0,0.0,0.0,0.0,1,0
step_height_m,0.005,1.0,0.0,0.0,0.0,0.0,1,0
step_height_m,0.01,0.9777777777777777,0.0,0.0,0.07407407407407407,0.0,1,3
step_height_m,0.02,0.8500000000000001,0.0,0.0,0.4999999999999999,0.0,1,3
step_height_m,0.03,0.7222222222222223,0.0,0.0,0.9259259259259257,0.0,1,3
step_height_m,0.035,0.7,0.0,0.0,1.0,0.0,1,3
step_height_m,0.052500000000000005,0.7,0.0,0.0,1.0,0.0,1,3
step_height_m,0.07,0.7,0.0,0.0,1.0,0.0,1,3
coverage,0.2,nan,0.0,0.0,0.0,1.0,0,255
coverage,0.4,nan,0.0,0.0,0.0,1.0,0,255
coverage,0.6,0.85,0.0,0.0,0.0,1.0,1,4
coverage,0.8,0.925,0.0,0.0,0.0,0.4999999999999998,1,4
coverage,1.0,1.0,0.0,0.0,0.0,0.0,1,0
confidence,0.0,nan,0.0,0.0,0.0,1.0,0,255
confidence,0.1,0.85,0.0,0.0,0.0,1.0,1,5
confidence,0.25,0.8611111111111112,0.0,0.0,0.0,0.9259259259259258,1,5
confidence,0.5,0.9125514403292181,0.0,0.0,0.0,0.5829903978052127,1,5
confidence,0.75,0.9717078189300411,0.0,0.0,0.0,0.18861454046639237,1,5
confidence,1.0,1.0,0.0,0.0,0.0,0.0,1,0
variance_m2,0.0,1.0,0.0,0.0,0.0,0.0,1,0
variance_m2,1.25e-05,1.0,0.0,0.0,0.0,0.0,1,0
variance_m2,2.5e-05,1.0,0.0,0.0,0.0,0.0,1,0
variance_m2,0.0001,0.9843999999999999,0.0,0.0,0.0,0.10400000000000002,1,4
variance_m2,0.0002,0.9324888888888889,0.0,0.0,0.0,0.45007407407407407,1,4
variance_m2,0.0004,0.85,0.0,0.0,0.0,1.0,1,4
variance_m2,0.0008,0.85,0.0,0.0,0.0,1.0,1,4
